Path found!
Starting point = (0.000000, 0.937500)
Final point = (179.203866, 0.532852)
Cost = 1833.000000
nodes = 1834
(20.556374, 1.436393)
(20.656372, 1.436917)
(20.755787, 1.447721)
(20.855765, 1.449820)
(20.955690, 1.445962)
(21.055690, 1.446092)
(21.155643, 1.443002)
(21.255637, 1.444058)
(21.355396, 1.450991)
(21.455293, 1.455537)
(21.555284, 1.456914)
(21.655268, 1.458695)
(21.755247, 1.456656)
(21.855222, 1.458891)
(21.954981, 1.465832)
(22.054967, 1.464160)
(22.154965, 1.464773)
(22.254965, 1.464607)
(22.354952, 1.463026)
(22.454838, 1.458255)
(22.554768, 1.462009)
(22.654753, 1.463736)
(22.754730, 1.465862)
(22.854717, 1.467526)
(22.954643, 1.471369)
(23.054638, 1.472308)
(23.154341, 1.480014)
(23.254333, 1.478747)
(23.354211, 1.473821)
(23.454210, 1.473355)
(23.552420, 1.492191)
(23.652410, 1.490735)
(23.752004, 1.499735)
(23.851813, 1.493551)
(23.951788, 1.491334)
(24.051735, 1.494581)
(24.151735, 1.494291)
(24.251673, 1.497801)
(24.351621, 1.494566)
(24.451185, 1.485238)
(24.551180, 1.484253)
(24.651180, 1.484365)
(24.751143, 1.487091)
(24.851124, 1.485131)
(24.951101, 1.487252)
(25.051091, 1.488661)
(25.151088, 1.487918)
(25.246936, 1.516435)
(25.346927, 1.517762)
(25.445066, 1.536964)
(25.545066, 1.536790)
(25.645064, 1.536197)
(25.744575, 1.546079)
(25.842916, 1.527939)
(25.931137, 1.575024)
(26.031137, 1.575258)
(26.131129, 1.574019)
(26.231128, 1.574472)
(26.331059, 1.578189)
(26.431059, 1.578106)
(26.531044, 1.576372)
(26.630963, 1.572340)
(26.730739, 1.579023)
(26.830715, 1.581220)
(26.930692, 1.583368)
(27.030692, 1.583439)
(27.130685, 1.584635)
(27.230122, 1.595234)
(27.330120, 1.594622)
(27.430115, 1.593609)
(27.530045, 1.597351)
(27.629896, 1.602794)
(27.729896, 1.602785)
(27.828152, 1.584189)
(27.897549, 1.656190)
(27.997514, 1.658833)
(28.097233, 1.651336)
(28.197220, 1.649723)
(28.297216, 1.650624)
(28.397191, 1.652852)
(28.497191, 1.652787)
(28.597031, 1.658438)
(28.696815, 1.664999)
(28.796647, 1.670794)
(28.896647, 1.670450)
(28.996625, 1.672554)
(29.096624, 1.672195)
(29.196616, 1.673465)
(29.294952, 1.691634)
(29.394949, 1.690974)
(29.486075, 1.732157)
(29.586053, 1.734274)
(29.686049, 1.735169)
(29.785978, 1.738940)
(29.885975, 1.738138)
(29.985957, 1.736240)
(30.085956, 1.735838)
(30.185805, 1.741334)
(30.285406, 1.750258)
(30.385378, 1.752628)
(30.485277, 1.757106)
(30.585264, 1.758712)
(30.685264, 1.758317)
(30.785260, 1.757408)
(30.885256, 1.756575)
(30.985096, 1.762223)
(31.085063, 1.764807)
(31.185034, 1.767199)
(31.285029, 1.766160)
(31.384998, 1.768649)
(31.484646, 1.777027)
(31.584644, 1.776259)
(31.684587, 1.779611)
(31.784532, 1.782950)
(31.884529, 1.782204)
(31.984516, 1.783832)
(32.082859, 1.801957)
(32.182820, 1.804753)
(32.282797, 1.802582)
(32.382753, 1.805522)
(32.482705, 1.808646)
(32.582687, 1.810529)
(32.667128, 1.864099)
(32.767096, 1.861582)
(32.867096, 1.861334)
(32.966941, 1.855775)
(33.066730, 1.849279)
(33.166728, 1.849979)
(33.266396, 1.841838)
(33.366291, 1.837276)
(33.466270, 1.839373)
(33.525297, 1.920093)
(33.625285, 1.918519)
(33.725284, 1.918210)
(33.788160, 1.995971)
(33.888159, 1.995559)
(33.987682, 1.985801)
(34.087463, 1.992404)
(34.187457, 1.991264)
(34.287064, 1.982414)
(34.387061, 1.983291)
(34.487007, 1.986560)
(34.586963, 1.989548)
(34.686957, 1.990621)
(34.786933, 1.992811)
(34.886883, 1.995969)
(34.986873, 1.994586)
(35.086873, 1.994377)
(35.186862, 1.995904)
(35.286838, 1.993719)
(35.386829, 1.992378)
(35.486789, 1.995203)
(35.586497, 1.987565)
(35.686493, 1.988440)
(35.786466, 1.990740)
(35.886443, 1.992892)
(35.986429, 1.994574)
(36.086425, 1.995519)
(36.186409, 1.997300)
(36.286389, 1.999293)
(36.386359, 1.996850)
(36.486354, 1.997807)
(36.586299, 2.001129)
(36.686288, 1.999631)
(36.786163, 1.994643)
(36.886157, 1.993522)
(36.986112, 1.990507)
(37.086112, 1.990394)
(37.181747, 1.961172)
(37.281744, 1.961836)
(37.381680, 1.958248)
(37.481668, 1.956662)
(37.581643, 1.954437)
(37.681637, 1.953397)
(37.781599, 1.956181)
(37.881594, 1.957108)
(37.981575, 1.955137)
(38.081573, 1.955824)
(38.181564, 1.954518)
(38.281072, 1.964430)
(38.381071, 1.964702)
(38.481019, 1.967918)
(38.580906, 1.972683)
(38.680874, 1.970166)
(38.780856, 1.968236)
(38.880832, 1.970412)
(38.980811, 1.972441)
(39.080802, 1.971111)
(39.179526, 1.955183)
(39.279520, 1.954122)
(39.379441, 1.950155)
(39.479002, 1.959523)
(39.578800, 1.965878)
(39.636003, 2.047901)
(39.734511, 2.030693)
(39.833326, 2.046040)
(39.933223, 2.050584)
(40.033202, 2.052612)
(40.133201, 2.053222)
(40.233185, 2.055004)
(40.333155, 2.057422)
(40.433153, 2.056704)
(40.533114, 2.059475)
(40.632900, 2.066019)
(40.732874, 2.068321)
(40.832874, 2.068388)
(40.932871, 2.069075)
(41.032780, 2.064812)
(41.130942, 2.083897)
(41.230941, 2.084404)
(41.330940, 2.084901)
(41.430892, 2.087979)
(41.530845, 2.091056)
(41.630814, 2.088582)
(41.730814, 2.088206)
(41.830703, 2.092905)
(41.930597, 2.088307)
(42.030559, 2.085536)
(42.130482, 2.089449)
(42.230480, 2.088713)
(42.330462, 2.090584)
(42.430462, 2.090914)
(42.530392, 2.094638)
(42.630307, 2.090515)
(42.712201, 2.033127)
(42.812175, 2.030844)
(42.912158, 2.032708)
(43.012129, 2.035105)
(43.112124, 2.034150)
(43.212119, 2.035166)
(43.312067, 2.038385)
(43.412057, 2.036956)
(43.512020, 2.039677)
(43.612019, 2.040263)
(43.712008, 2.041684)
(43.811871, 2.046928)
(43.911847, 2.044760)
(44.011800, 2.041670)
(44.111780, 2.039680)
(44.211705, 2.043553)
(44.311701, 2.042736)
(44.411410, 2.035110)
(44.477425, 1.959997)
(44.577412, 1.961613)
(44.677399, 1.963212)
(44.777371, 1.960821)
(44.877370, 1.961108)
(44.977346, 1.963300)
(45.077303, 1.966230)
(45.177302, 1.965852)
(45.277272, 1.968325)
(45.376931, 1.960076)
(45.476785, 1.965485)
(45.576781, 1.966366)
(45.676721, 1.962920)
(45.776713, 1.964219)
(45.876690, 1.962086)
(45.976619, 1.958322)
(46.076619, 1.958243)
(46.176614, 1.959284)
(46.276605, 1.960591)
(46.376119, 1.970440)
(46.476087, 1.967904)
(46.576085, 1.968577)
(46.672694, 1.942756)
(46.772645, 1.945880)
(46.872630, 1.947572)
(46.972495, 1.952777)
(47.072371, 1.957758)
(47.172349, 1.959836)
(47.272343, 1.958697)
(47.369502, 1.982364)
(47.469489, 1.980789)
(47.569489, 1.980829)
(47.669463, 1.978534)
(47.769357, 1.973931)
(47.869325, 1.971379)
(47.969232, 1.975692)
(48.069201, 1.973236)
(48.169176, 1.975504)
(48.261453, 1.936970)
(48.361438, 1.938741)
(48.461425, 1.940325)
(48.561408, 1.942199)
(48.661335, 1.946012)
(48.761334, 1.945561)
(48.861321, 1.947160)
(48.960453, 1.960307)
(49.060445, 1.959063)
(49.160402, 1.956125)
(49.260354, 1.953016)
(49.360311, 1.950084)
(49.445108, 2.003088)
(49.544079, 1.988779)
(49.644052, 1.991130)
(49.743931, 1.996049)
(49.843920, 1.997488)
(49.943895, 1.995247)
(50.043834, 1.998729)
(50.143797, 1.996002)
(50.243608, 2.002152)
(50.343457, 2.007650)
(50.443447, 2.006280)
(50.543412, 2.003629)
(50.643404, 2.002381)
(50.743400, 2.003338)
(50.843368, 2.000813)
(50.943295, 2.004640)
(51.043276, 2.002723)
(51.143247, 2.005142)
(51.243216, 2.007646)
(51.343164, 2.004440)
(51.443146, 2.002535)
(51.543141, 2.001495)
